home,geo_area_id,device,population,devices_pct
1101,13101,115,45979,0.25
1101,13102,4,45979,0.01
1101,13103,11,45979,0.02
1101,13104,9,45979,0.02
1101,13105,5,45979,0.01
1101,13106,25,45979,0.05
1101,13107,11,45979,0.02
1101,13108,7,45979,0.02
1101,13109,12,45979,0.03
1101,13110,20,45979,0.04
1101,13111,7,45979,0.02
1101,13112,3,45979,0.01
1101,13113,22,45979,0.05
1101,13114,68,45979,0.15
1101,13115,8,45979,0.02
1101,13116,8,45979,0.02
1101,13117,2,45979,0.0
1101,13118,12,45979,0.03
1101,13119,37,45979,0.08
1101,13120,29,45979,0.06
1101,13121,2,45979,0.0
1101,13122,20,45979,0.04
1101,13123,42,45979,0.09
1101,13124,18,45979,0.04
1101,13125,14,45979,0.03
1101,13126,31,45979,0.06999999999999999
1101,13127,25,45979,0.05
1101,13128,2,45979,0.0
1101,13129,3,45979,0.01
1101,13130,20,45979,0.04
1101,13131,6,45979,0.01
1101,13132,11,45979,0.02
1101,13201,33,45979,0.06999999999999999
1101,13202,2,45979,0.0
1101,13203,2,45979,0.0
1101,13301,9,45979,0.02
1101,13302,5,45979,0.01
1101,13303,1,45979,0.0
1101,13401,12,45979,0.03
1101,13402,6,45979,0.01
1101,13403,1,45979,0.0
1101,13404,8,45979,0.02
1101,13501,11,45979,0.02
1101,13503,5,45979,0.01
1101,13504,2,45979,0.0
1101,13601,3,45979,0.01
1101,13602,1,45979,0.0
1101,13604,6,45979,0.01
1101,13605,7,45979,0.02
1107,13101,23,22732,0.1
1107,13102,1,22732,0.0
1107,13103,1,22732,0.0
1107,13104,3,22732,0.01
1107,13105,1,22732,0.0
1107,13106,9,22732,0.04
1107,13107,2,22732,0.01
1107,13108,1,22732,0.0
1107,13109,3,22732,0.01
1107,13110,4,22732,0.02
1107,13112,1,22732,0.0
1107,13113,2,22732,0.01
1107,13114,4,22732,0.02
1107,13115,1,22732,0.0
1107,13117,2,22732,0.01
1107,13118,2,22732,0.01
1107,13119,8,22732,0.04
1107,13120,4,22732,0.02
1107,13121,1,22732,0.0
1107,13122,3,22732,0.01
1107,13123,4,22732,0.02
1107,13124,9,22732,0.04
1107,13125,6,22732,0.03
1107,13126,4,22732,0.02
1107,13127,5,22732,0.02
1107,13128,5,22732,0.02
1107,13129,3,22732,0.01
1107,13131,2,22732,0.01
1107,13201,6,22732,0.03
1107,13301,2,22732,0.01
1107,13302,3,22732,0.01
1107,13401,5,22732,0.02
1107,13402,2,22732,0.01
1107,13403,2,22732,0.01
1107,13404,4,22732,0.02
1107,13501,1,22732,0.0
1107,13503,1,22732,0.0
1107,13504,1,22732,0.0
1107,13605,1,22732,0.0
1401,13101,4,4135,0.1
1401,13104,1,4135,0.02
1401,13105,1,4135,0.02
1401,13106,2,4135,0.05
1401,13107,1,4135,0.02
1401,13110,2,4135,0.05
1401,13114,3,4135,0.06999999999999999
1401,13117,1,4135,0.02
1401,13118,2,4135,0.05
1401,13123,1,4135,0.02
1401,13124,5,4135,0.12
1401,13125,2,4135,0.05
1401,13127,3,4135,0.06999999999999999
1401,13128,2,4135,0.05
1401,13201,1,4135,0.02
1401,13301,1,4135,0.02
1401,13303,1,4135,0.02
1401,13401,1,4135,0.02
1401,13403,1,4135,0.02
1401,13501,3,4135,0.06999999999999999
1401,13504,1,4135,0.02
1401,13505,2,4135,0.05
1401,13604,2,4135,0.05
1402,13301,1,687,0.15
1404,13101,2,658,0.3
1404,13116,1,658,0.15
1404,13118,1,658,0.15
1404,13122,1,658,0.15
1404,13124,1,658,0.15
1404,13201,1,658,0.15
1404,13202,1,658,0.15
1405,13101,3,1659,0.18
1405,13104,1,1659,0.06
1405,13106,1,1659,0.06
1405,13110,3,1659,0.18
1405,13114,3,1659,0.18
1405,13115,1,1659,0.06
1405,13119,1,1659,0.06
1405,13120,1,1659,0.06
1405,13123,2,1659,0.12
1405,13127,1,1659,0.06
1405,13129,1,1659,0.06
1405,13301,1,1659,0.06
1405,13503,1,1659,0.06
2101,13101,183,111382,0.16
2101,13102,7,111382,0.01
2101,13103,14,111382,0.01
2101,13104,12,111382,0.01
2101,13105,8,111382,0.01
2101,13106,32,111382,0.03
2101,13107,14,111382,0.01
2101,13108,12,111382,0.01
2101,13109,11,111382,0.01
2101,13110,37,111382,0.03
2101,13111,10,111382,0.01
2101,13112,11,111382,0.01
2101,13113,23,111382,0.02
2101,13114,124,111382,0.11
2101,13115,21,111382,0.02
2101,13116,7,111382,0.01
2101,13117,8,111382,0.01
2101,13118,17,111382,0.02
2101,13119,58,111382,0.05
2101,13120,66,111382,0.06
2101,13121,9,111382,0.01
2101,13122,24,111382,0.02
2101,13123,90,111382,0.08
2101,13124,33,111382,0.03
2101,13125,27,111382,0.02
2101,13126,20,111382,0.02
2101,13127,22,111382,0.02
2101,13128,15,111382,0.01
2101,13129,6,111382,0.01
2101,13130,32,111382,0.03
2101,13131,5,111382,0.0
2101,13132,23,111382,0.02
2101,13201,63,111382,0.06
2101,13202,2,111382,0.0
2101,13203,8,111382,0.01
2101,13301,32,111382,0.03
2101,13302,11,111382,0.01
2101,13303,2,111382,0.0
2101,13401,29,111382,0.03
2101,13402,8,111382,0.01
2101,13403,8,111382,0.01
2101,13404,10,111382,0.01
2101,13501,9,111382,0.01
2101,13502,1,111382,0.0
2101,13503,4,111382,0.0
2101,13505,2,111382,0.0
2101,13601,6,111382,0.01
2101,13602,5,111382,0.0
2101,13603,4,111382,0.0
2101,13604,4,111382,0.0
2101,13605,7,111382,0.01
2102,13101,2,3592,0.06
2102,13105,1,3592,0.03
2102,13106,2,3592,0.06
2102,13107,1,3592,0.03
2102,13109,1,3592,0.03
2102,13110,3,3592,0.08
2102,13111,1,3592,0.03
2102,13113,2,3592,0.06
2102,13114,3,3592,0.08
2102,13115,4,3592,0.11
2102,13119,1,3592,0.03
2102,13120,2,3592,0.06
2102,13121,2,3592,0.06
2102,13122,1,3592,0.03
2102,13123,1,3592,0.03
2102,13125,2,3592,0.06
2102,13129,2,3592,0.06
2102,13130,2,3592,0.06
2102,13201,5,3592,0.13999999999999999
2102,13202,1,3592,0.03
2102,13203,1,3592,0.03
2102,13302,1,3592,0.03
2102,13602,1,3592,0.03
2102,13604,1,3592,0.03
2103,13101,8,4730,0.16999999999999998
2103,13103,1,4730,0.02
2103,13104,2,4730,0.04
2103,13105,1,4730,0.02
2103,13106,3,4730,0.06
2103,13107,2,4730,0.04
2103,13109,1,4730,0.02
2103,13110,9,4730,0.19
2103,13111,2,4730,0.04
2103,13113,2,4730,0.04
2103,13114,12,4730,0.25
2103,13115,2,4730,0.04
2103,13117,1,4730,0.02
2103,13119,1,4730,0.02
2103,13120,6,4730,0.13
2103,13121,1,4730,0.02
2103,13122,3,4730,0.06
2103,13123,3,4730,0.06
2103,13124,6,4730,0.13
2103,13125,1,4730,0.02
2103,13126,1,4730,0.02
2103,13127,2,4730,0.04
2103,13128,1,4730,0.02
2103,13129,1,4730,0.02
2103,13130,1,4730,0.02
2103,13131,1,4730,0.02
2103,13132,2,4730,0.04
2103,13201,9,4730,0.19
2103,13202,1,4730,0.02
2103,13301,7,4730,0.15
2103,13302,3,4730,0.06
2103,13303,1,4730,0.02
2103,13401,6,4730,0.13
2103,13402,1,4730,0.02
2103,13403,1,4730,0.02
2103,13404,1,4730,0.02
2103,13501,2,4730,0.04
2103,13502,1,4730,0.02
2103,13503,1,4730,0.02
2103,13605,1,4730,0.02
2104,13101,7,2320,0.3
2104,13103,1,2320,0.04
2104,13105,1,2320,0.04
2104,13106,1,2320,0.04
2104,13107,2,2320,0.09
2104,13108,2,2320,0.09
2104,13109,1,2320,0.04
2104,13110,3,2320,0.13
2104,13111,1,2320,0.04
2104,13113,1,2320,0.04
2104,13114,4,2320,0.16999999999999998
2104,13118,1,2320,0.04
2104,13119,2,2320,0.09
2104,13120,2,2320,0.09
2104,13123,1,2320,0.04
2104,13124,2,2320,0.09
2104,13125,3,2320,0.13
2104,13128,1,2320,0.04
2104,13132,2,2320,0.09
2104,13201,3,2320,0.13
2104,13302,1,2320,0.04
2104,13303,1,2320,0.04
2104,13501,2,2320,0.09
2104,13603,1,2320,0.04
2201,13101,62,31959,0.19
2201,13102,2,31959,0.01
2201,13103,2,31959,0.01
2201,13104,4,31959,0.01
2201,13105,2,31959,0.01
2201,13106,12,31959,0.04
2201,13107,6,31959,0.02
2201,13108,4,31959,0.01
2201,13109,6,31959,0.02
2201,13110,19,31959,0.06
2201,13111,1,31959,0.0
2201,13112,5,31959,0.02
2201,13113,7,31959,0.02
2201,13114,25,31959,0.08
2201,13115,5,31959,0.02
2201,13116,4,31959,0.01
2201,13117,1,31959,0.0
2201,13118,1,31959,0.0
2201,13119,25,31959,0.08
2201,13120,25,31959,0.08
2201,13121,1,31959,0.0
2201,13122,8,31959,0.03
2201,13123,41,31959,0.13
2201,13124,15,31959,0.05
2201,13125,3,31959,0.01
2201,13126,7,31959,0.02
2201,13127,8,31959,0.03
2201,13128,9,31959,0.03
2201,13129,6,31959,0.02
2201,13130,11,31959,0.03
2201,13131,3,31959,0.01
2201,13132,3,31959,0.01
2201,13201,18,31959,0.06
2201,13202,3,31959,0.01
2201,13203,3,31959,0.01
2201,13301,6,31959,0.02
2201,13302,4,31959,0.01
2201,13303,4,31959,0.01
2201,13401,9,31959,0.03
2201,13402,4,31959,0.01
2201,13403,1,31959,0.0
2201,13501,9,31959,0.03
2201,13505,1,31959,0.0
2201,13601,5,31959,0.02
2201,13602,1,31959,0.0
2201,13603,3,31959,0.01
2201,13604,2,31959,0.01
2201,13605,4,31959,0.01
2202,13101,1,36,2.78
2203,13101,14,1600,0.88
2203,13103,1,1600,0.06
2203,13106,3,1600,0.19
2203,13107,2,1600,0.12
2203,13108,1,1600,0.06
2203,13110,5,1600,0.31
2203,13112,1,1600,0.06
2203,13113,4,1600,0.25
2203,13114,11,1600,0.69
2203,13115,5,1600,0.31
2203,13119,11,1600,0.69
2203,13120,4,1600,0.25
2203,13122,7,1600,0.44
2203,13123,4,1600,0.25
2203,13124,3,1600,0.19
2203,13125,1,1600,0.06
2203,13126,3,1600,0.19
2203,13127,3,1600,0.19
2203,13128,1,1600,0.06
2203,13129,2,1600,0.12
2203,13130,7,1600,0.44
2203,13132,4,1600,0.25
2203,13201,3,1600,0.19
2203,13301,12,1600,0.75
2203,13302,1,1600,0.06
2203,13401,3,1600,0.19
2203,13402,2,1600,0.12
2203,13403,1,1600,0.06
2203,13404,2,1600,0.12
2203,13504,1,1600,0.06
2203,13604,3,1600,0.19
2203,13605,2,1600,0.12
2301,13101,10,5900,0.16999999999999998
2301,13104,2,5900,0.03
2301,13105,1,5900,0.02
2301,13106,3,5900,0.05
2301,13108,2,5900,0.03
2301,13109,1,5900,0.02
2301,13110,2,5900,0.03
2301,13112,3,5900,0.05
2301,13113,1,5900,0.02
2301,13114,1,5900,0.02
2301,13118,1,5900,0.02
2301,13119,2,5900,0.03
2301,13120,4,5900,0.06999999999999999
2301,13122,1,5900,0.02
2301,13123,4,5900,0.06999999999999999
2301,13124,1,5900,0.02
2301,13125,3,5900,0.05
2301,13126,1,5900,0.02
2301,13127,2,5900,0.03
2301,13128,2,5900,0.03
2301,13201,4,5900,0.06999999999999999
2301,13302,2,5900,0.03
2301,13401,1,5900,0.02
2301,13402,1,5900,0.02
2301,13403,1,5900,0.02
2301,13404,1,5900,0.02
2301,13501,2,5900,0.03
2301,13601,1,5900,0.02
2302,13101,2,1726,0.12
2302,13103,1,1726,0.06
2302,13113,1,1726,0.06
2302,13117,2,1726,0.12
2302,13123,4,1726,0.22999999999999998
2302,13126,1,1726,0.06
2302,13131,1,1726,0.06
2302,13203,1,1726,0.06
2302,13401,1,1726,0.06
2302,13602,2,1726,0.12
3101,13101,99,49270,0.2
3101,13102,2,49270,0.0
3101,13103,2,49270,0.0
3101,13104,8,49270,0.02
3101,13105,4,49270,0.01
3101,13106,11,49270,0.02
3101,13107,3,49270,0.01
3101,13108,3,49270,0.01
3101,13109,7,49270,0.01
3101,13110,23,49270,0.05
3101,13111,2,49270,0.0
3101,13112,6,49270,0.01
3101,13113,6,49270,0.01
3101,13114,45,49270,0.09
3101,13115,11,49270,0.02
3101,13116,3,49270,0.01
3101,13117,2,49270,0.0
3101,13118,5,49270,0.01
3101,13119,18,49270,0.04
3101,13120,25,49270,0.05
3101,13122,6,49270,0.01
3101,13123,49,49270,0.1
3101,13124,20,49270,0.04
3101,13125,10,49270,0.02
3101,13126,4,49270,0.01
3101,13127,8,49270,0.02
3101,13128,8,49270,0.02
3101,13129,5,49270,0.01
3101,13130,10,49270,0.02
3101,13131,1,49270,0.0
3101,13132,7,49270,0.01
3101,13201,15,49270,0.03
3101,13202,1,49270,0.0
3101,13203,3,49270,0.01
3101,13301,13,49270,0.03
3101,13302,10,49270,0.02
3101,13303,10,49270,0.02
3101,13401,12,49270,0.02
3101,13402,3,49270,0.01
3101,13403,1,49270,0.0
3101,13404,6,49270,0.01
3101,13501,11,49270,0.02
3101,13503,1,49270,0.0
3101,13505,1,49270,0.0
3101,13601,5,49270,0.01
3101,13602,2,49270,0.0
3101,13603,2,49270,0.0
3101,13604,3,49270,0.01
3101,13605,4,49270,0.01
3102,13101,29,6501,0.44999999999999996
3102,13103,2,6501,0.03
3102,13104,5,6501,0.08
3102,13105,2,6501,0.03
3102,13106,7,6501,0.11
3102,13107,2,6501,0.03
3102,13108,2,6501,0.03
3102,13110,17,6501,0.26
3102,13111,6,6501,0.09
3102,13113,7,6501,0.11
3102,13114,31,6501,0.48
3102,13115,1,6501,0.02
3102,13116,1,6501,0.02
3102,13118,7,6501,0.11
3102,13119,21,6501,0.32
3102,13120,15,6501,0.22999999999999998
3102,13121,2,6501,0.03
3102,13122,4,6501,0.06
3102,13123,16,6501,0.25
3102,13124,3,6501,0.05
3102,13125,9,6501,0.13999999999999999
3102,13126,5,6501,0.08
3102,13127,11,6501,0.16999999999999998
3102,13128,2,6501,0.03
3102,13129,2,6501,0.03
3102,13130,10,6501,0.15
3102,13131,2,6501,0.03
3102,13132,4,6501,0.06
3102,13201,8,6501,0.12
3102,13202,1,6501,0.02
3102,13203,1,6501,0.02
3102,13301,10,6501,0.15
3102,13302,4,6501,0.06
3102,13401,2,6501,0.03
3102,13402,3,6501,0.05
3102,13403,2,6501,0.03
3102,13404,4,6501,0.06
3102,13501,1,6501,0.02
3102,13503,3,6501,0.05
3102,13601,2,6501,0.03
3102,13603,1,6501,0.02
3102,13604,1,6501,0.02
3102,13605,5,6501,0.08
3103,13101,3,5506,0.05
3103,13102,1,5506,0.02
3103,13104,1,5506,0.02
3103,13106,1,5506,0.02
3103,13110,1,5506,0.02
3103,13114,1,5506,0.02
3103,13115,2,5506,0.04
3103,13119,1,5506,0.02
3103,13123,1,5506,0.02
3103,13124,2,5506,0.04
3103,13125,1,5506,0.02
3103,13127,1,5506,0.02
3103,13128,1,5506,0.02
3103,13131,1,5506,0.02
3103,13132,1,5506,0.02
3103,13201,1,5506,0.02
3103,13302,3,5506,0.05
3103,13401,2,5506,0.04
3103,13402,1,5506,0.02
3103,13404,1,5506,0.02
3201,13101,11,3929,0.27999999999999997
3201,13104,2,3929,0.05
3201,13106,4,3929,0.1
3201,13110,1,3929,0.03
3201,13111,1,3929,0.03
3201,13112,1,3929,0.03
3201,13113,1,3929,0.03
3201,13114,4,3929,0.1
3201,13115,3,3929,0.08
3201,13116,2,3929,0.05
3201,13119,3,3929,0.08
3201,13120,1,3929,0.03
3201,13123,3,3929,0.08
3201,13124,2,3929,0.05
3201,13125,1,3929,0.03
3201,13126,2,3929,0.05
3201,13127,2,3929,0.05
3201,13128,1,3929,0.03
3201,13129,2,3929,0.05
3201,13130,2,3929,0.05
3201,13131,1,3929,0.03
3201,13201,1,3929,0.03
3201,13301,3,3929,0.08
3201,13302,3,3929,0.08
3201,13303,1,3929,0.03
3201,13401,3,3929,0.08
3201,13402,1,3929,0.03
3201,13403,1,3929,0.03
3201,13404,1,3929,0.03
3201,13601,1,3929,0.03
3201,13602,1,3929,0.03
3201,13604,2,3929,0.05
3201,13605,1,3929,0.03
3202,13101,13,4977,0.26
3202,13104,3,4977,0.06
3202,13106,3,4977,0.06
3202,13107,2,4977,0.04
3202,13109,4,4977,0.08
3202,13110,3,4977,0.06
3202,13111,4,4977,0.08
3202,13112,2,4977,0.04
3202,13113,5,4977,0.1
3202,13114,12,4977,0.24
3202,13115,2,4977,0.04
3202,13117,1,4977,0.02
3202,13118,2,4977,0.04
3202,13119,8,4977,0.16
3202,13120,3,4977,0.06
3202,13122,2,4977,0.04
3202,13123,9,4977,0.18
3202,13124,3,4977,0.06
3202,13125,2,4977,0.04
3202,13126,1,4977,0.02
3202,13128,3,4977,0.06
3202,13129,1,4977,0.02
3202,13130,1,4977,0.02
3202,13132,4,4977,0.08
3202,13201,4,4977,0.08
3202,13202,1,4977,0.02
3202,13301,4,4977,0.08
3202,13302,1,4977,0.02
3202,13401,1,4977,0.02
3202,13402,2,4977,0.04
